Category,Subcategory,name,Variable,Description,Answer options,optional,showif,label,class,type,value,choice1,choice2,choice3,choice4,choice5,choice6,choice7,choice8,choice9,choice10
general,,ARTICLE_NAME,Article title,,open,,,Enter the study name as used in tables or text in the meta-analysis. Alternatively: PDF file name.,,text,,,,,,,,,,,
general,,ARTICLE_DOI,Article DOI,,open,,,"DOI of article (if no DOI, include http:// to the study. If not online, leave empty).",,text,,,,,,,,,,,
general,,CODED_BY,Coder ID,,open,,,ORCID or full name,,text,,,,,,,,,,,
general,,COAUTHORED,(Co-)authorship of coder,Control question to make sure coders don't code papers they (co-)authored,yes/no/not sure,,,"### (Co-)Authorship
Did you author or co-author this article or were you involved in the conception or execution of the research described in it?",,mc,,yes,no,not sure,,,,,,,
general,,GENERAL_NONPREREG,Non-preregistered studies,Does the article contain non-preregistered studies?,yes/no/not sure,,,"Does the article contain non-preregistered studies, including pilot studies?",,mc,,yes,no,not sure,,,,,,,
general,,GENERAL_NONPREREG_COUNT,Number of on-preregistered studies,"If the article contains non-preregistered studies, how many?",number,*,GENERAL_NONPREREG == 1,How many?,,"number 0,,1",,,,,,,,,,,
general,,GENERAL_NONPREREG_COMMENTS,Comments on non-preregistered studies,,open,*,GENERAL_NONPREREG != 2,Any comments regarding non-preregistered studies:,,textarea,,,,,,,,,,,
general,,STUDY_NO,Study number,"ID number of study, if more than one study is reported in the article",open,,,"Number (1, 2a, 2b, etc. 1 for single study papers. Copy naming convention from papers (e.g., Study 4a and 4b)., but translate into numerical variable: So Study 1 a and 1b are 1.1 and 1.2",,text,,,,,,,,,,,
general,,STUDY_META_ANALYSIS,Meta-analysis vs original work,Is the study a meta-analysis or a systematic review?,yes/no/not sure,,,Is the study a meta-analysis or a systematic review?,,mc,,yes,no,not sure,,,,,,,
hypothesis,hypothesis ID,HYP_NO,Hypothesis number,"ID number of hypothesis, if more than one confirmatory hypothesis is analysed in the study",open,,,"Number (1, 2, 3, …), restricted to confirmatory hypotheses. Copy naming convention from papers (e.g., Hypothesis 2a and 2b), but translate into numerical variable: So Hypothesis 1a and 1b are 1.1 and 1.2",,text,,,,,,,,,,,
hypothesis,hypothesis ID,HYP_QUOTE,Hypothesis quote,,open,,,"### Hypothesis quote
Copy-paste the text which states _this_ hypothesis.
Try to find the quote with the most clear, unambiguous statement of the hypothesis.
If no hypothesis is reported, code ""not reported""",,textarea,,,,,,,,,,,
hypothesis,hypothesis ID,HYP_PAGE,Page number of hypothesis quote,,open,,,"### Page number of the hypothesis quote
If no hypothesis is reported, code ""NA""",,"number 0,,1",,,,,,,,,,,
hypothesis,hypothesis directedness,HYP_DIRECTION,Hypothesis directionality,Is the hypothesis directional?,"directional
non-directional
absence of effect
compound (more than one effect)
other",,,"Is the hypothesis directional (authors predict the sign of an effect, e.g. group A > group B, negative correlation)?
directional effect = hypothesis predicts the sign of the effect
non-directional effect = hypothesis predicts an effect without specifying the direction
absence of an effect = hypothesis predicts that an effect is zero or closer to zero than some criterion
compound = hypothesis relates to more than one effect (e.g. ""A > B *and* C = D"")
",,mc,,directional effect,non-directional effect,absence of an effect,compound,not stated,not codeable,other,,,
hypothesis,hypothesis directedness,HYP_DIRECTION_OTHER,Hypothesis directionality: other,"Specification of ""other"" type of hypothesis",open,,HYP_DIRECTION == 7,Please explain:,,text,,,,,,,,,,,
hypothesis,hypothesis dependency,HYP_DEPEND,Hypothesis (in-)dependence,Is the hypothesis independent of other hypotheses in the article?,yes/no,,,Is the hypothesis independent from all other (confirmatory) hypotheses in this study?,,mc_button,,yes,no,,,,,,,,
hypothesis,hypothesis dependency,HYP_DEPEND_SPEC,Hypothesis (in-)dependence,"Specification of relation to other hypotheses, if dependent on other hypotheses",open,,HYP_DEPEND == 2,"Please specify any dependencies between this and other hypotheses in the study (report the exact numbers of any dependent hypotheses).
For example, the hypothesis could be the complement of another hypothesis (predict the opposite outcome), or it could be the precondition for another hypothesis.",,textarea,,,,,,,,,,,
hypothesis,coding,HYP_CODING_DIFFICULTY,Hypothesis coding difficulty,How difficult was it to code this hypothesis?,"1 = very easy
10 = very difficult",,,"### Hypothesis coding difficulty
How difficult was it to code this hypothesis?",analogue_rating_scale,"rating_button 1,10,1",,very easy,very difficult,,,,,,,,
hypothesis,coding,HYP_COMMENTS,Hypothesis comments,,open,*,,"### Hypothesis comments
Any comments regarding (the coding of) this hypothesis?",text,textarea,,,,,,,,,,,
