"","doi","survey_name","unit_position","unit_session_id","session","type","item_name","label","optional","showif","created","saved","shown","shown_relative","answer","answered","answered_relative","displaycount","display_order","hidden","coder","repeat.var","study.no","hyp.no","result.no","group"
"1253","10.1007/s11031-017-9645-3","AssessingRRsPRs_codingscheme_01generalstart",10,2226958,"QkGDyNCJ5bYRLW-ol-uBoVi5SpbcwtJkD-CZ02UMNB0gvFL_8GQ50VBzjDCBGhv6","text","ARTICLE_NAME","Enter the study name as used in tables or text in the meta-analysis. Alternatively: PDF file name.",0,"","2018-08-17 11:00:28","2018-08-17 11:24:17","2018-08-17 09:01:43",865,"Construing action abstractly and experiencing autonomy: Implications for physical activity and diet","2018-08-17 09:01:51",8778,1,1,0,"0000-0002-6627-0746",1,NA,NA,NA,"PR"
"1254","10.1007/s11031-017-9645-3","AssessingRRsPRs_codingscheme_01generalstart",10,2226958,"QkGDyNCJ5bYRLW-ol-uBoVi5SpbcwtJkD-CZ02UMNB0gvFL_8GQ50VBzjDCBGhv6","text","ARTICLE_DOI","DOI of article (if no DOI, include http:// to the study. If not online, leave empty).",0,"","2018-08-17 11:00:28","2018-08-17 11:24:17","2018-08-17 09:01:43",865,"10.1007/s11031-017-9645-3","2018-08-17 09:01:46",3990,1,2,0,"0000-0002-6627-0746",1,NA,NA,NA,"PR"
"1255","10.1007/s11031-017-9645-3","AssessingRRsPRs_codingscheme_01generalstart",10,2226958,"QkGDyNCJ5bYRLW-ol-uBoVi5SpbcwtJkD-CZ02UMNB0gvFL_8GQ50VBzjDCBGhv6","text","CODED_BY","Your ORCID or full name",0,"","2018-08-17 11:00:28","2018-08-17 11:24:17","2018-08-17 09:01:43",865,"0000-0002-6627-0746","2018-08-17 09:01:53",10918,1,3,0,"0000-0002-6627-0746",1,NA,NA,NA,"PR"
"1256","10.1007/s11031-017-9645-3","AssessingRRsPRs_codingscheme_01generalstart",10,2226958,"QkGDyNCJ5bYRLW-ol-uBoVi5SpbcwtJkD-CZ02UMNB0gvFL_8GQ50VBzjDCBGhv6","mc","COAUTHORED","### (Co-)Authorship
Did you author or co-author this article or were you involved in the conception or execution of the research described in it?",0,"","2018-08-17 11:00:28","2018-08-17 11:24:17","2018-08-17 09:01:43",865,"2","2018-08-17 09:01:53",11028,1,4,0,"0000-0002-6627-0746",1,NA,NA,NA,"PR"
"1257","10.1007/s11031-017-9645-3","AssessingRRsPRs_codingscheme_01generalstart",10,2226958,"QkGDyNCJ5bYRLW-ol-uBoVi5SpbcwtJkD-CZ02UMNB0gvFL_8GQ50VBzjDCBGhv6","mc","GENERAL_NONPREREG","Does the article contain non-preregistered studies, including pilot studies?",0,"","2018-08-17 11:00:28","2018-08-17 11:24:17","2018-08-17 09:01:43",865,"1","2018-08-17 09:23:31",1309109,1,6,0,"0000-0002-6627-0746",1,NA,NA,NA,"PR"
"1258","10.1007/s11031-017-9645-3","AssessingRRsPRs_codingscheme_01generalstart",10,2226958,"QkGDyNCJ5bYRLW-ol-uBoVi5SpbcwtJkD-CZ02UMNB0gvFL_8GQ50VBzjDCBGhv6","number","GENERAL_NONPREREG_COUNT","How many?",1,"GENERAL_NONPREREG == 1","2018-08-17 11:00:28","2018-08-17 11:24:17","2018-08-17 09:23:31",1309116,"1","2018-08-17 09:23:35",1312663,1,7,0,"0000-0002-6627-0746",1,NA,NA,NA,"PR"
"1259","10.1007/s11031-017-9645-3","AssessingRRsPRs_codingscheme_01generalstart",10,2226958,"QkGDyNCJ5bYRLW-ol-uBoVi5SpbcwtJkD-CZ02UMNB0gvFL_8GQ50VBzjDCBGhv6","textarea","GENERAL_NONPREREG_COMMENTS","Any comments regarding non-preregistered studies:",1,"GENERAL_NONPREREG == 3 | GENERAL_NONPREREG == 1","2018-08-17 11:00:28","2018-08-17 11:24:17","2018-08-17 09:23:31",1309116,"","2018-08-17 09:23:31",NA,1,8,0,"0000-0002-6627-0746",1,NA,NA,NA,"PR"
"1260","10.1007/s11031-017-9645-3","AssessingRRsPRs_codingscheme_01generalstart",10,2226958,"QkGDyNCJ5bYRLW-ol-uBoVi5SpbcwtJkD-CZ02UMNB0gvFL_8GQ50VBzjDCBGhv6","mc","STUDY_CHECK","Does the article contain a preregistered study?
_This is just a check question to let you skip the hypothesis and results page if no study can/should be coded for any reason._",0,"","2018-08-17 11:00:28","2018-08-17 11:24:17","2018-08-17 09:01:43",865,"1","2018-08-17 09:25:29",1426880,1,9,0,"0000-0002-6627-0746",1,NA,NA,NA,"PR"
"1261","10.1007/s11031-017-9645-3","AssessingRRsPRs_codingscheme_01generalstart",10,2226958,"QkGDyNCJ5bYRLW-ol-uBoVi5SpbcwtJkD-CZ02UMNB0gvFL_8GQ50VBzjDCBGhv6","note","GENERAL_NOTE1","## Assessment of effect sizes and the prevalence of “positive” results in RRs and preregistered studies: Pilot phase

Welcome to the coding sheet! This form has a nested structure that follows the presumed structure of an article: An __article__ can contain one or several __studies__, each study can contain one or several __hypotheses__, and each hypothesis can be tested with one or several analyses, meaning that there can be one or several __results__ that relate to each hypothesis. How the form works:

* __Page 1__ (this one): general information about the article
* __Page 2__ (*study* page): specify the first study to be coded in this article
* __Page 3__ (*hypothesis* page): specify the first hypothesis to be coded in this study
* __Page 4__ (*results* page): fill in information about the first result relating to this hypothesis
* If there is another result for this hypothesis, you will loop back and repeat the *results* page
* __Page 5__ (*conclusions* page): when all results for one hypothesis have been coded, code the conclusions for the hypothesis
* If there is another hypothesis to code for this study, you will loop back to the *hypothesis* page
* When all hypotheses for one study have been coded and there is another study to code for this article, you will loop back to the *study* page
* __Page 6__ (final page): When all studies of the article have been coded, fill in a few more general details about the article

We will only code __preregistered__ studies (assuming that an article can contain preregistered and non-preregistered studies, e.g. a pilot study) and __confirmatory__ hypotheses (exploratory hypotheses/analyses are counted, but not coded in detail). 

__*IMPORTANT:*__ Specific responses to some questions will lead to follow-up questions popping up. First: sometimes the follow-up is initially displayed and then disappears when it's not needed - a harmless bug I didn't know how to fix. A more severe bug is when there are follow-up questions to a specific response to a follow-up question to a specific response to a regular question. __If you change your mind too often on the first question, it can lead to some of the pop-up questions malfunctioning/disappearing. Please just try to not click around too much and give precise responses the first time around.__

Please keep notes of any bugs you observe, as well as badly phrased questions, missing answer options, etc. We can fix the form very quickly if needed.

#### Links:
* OSF project: [osf.io/gtz6a](https://osf.io/gtz6a/)
* Prereg document: [osf.io/xdv68](https://osf.io/xdv68/)
* Logbook with a list of articles to be piloted: [osf.io/3uf86](https://osf.io/3uf86/)
___",1,"","2018-08-17 11:00:28","2018-08-17 11:24:17","2018-08-17 09:01:43",865,"1","2018-08-17 09:01:43",NA,1,0,0,"0000-0002-6627-0746",1,NA,NA,NA,"PR"
"1262","10.1007/s11031-017-9645-3","AssessingRRsPRs_codingscheme_02study",30,2226977,"QkGDyNCJ5bYRLW-ol-uBoVi5SpbcwtJkD-CZ02UMNB0gvFL_8GQ50VBzjDCBGhv6","text","STUDY_NO","Study number (e.g. 1, 2a, 2b, etc.; copy naming conventions from the article). Code """"1"""" for single-study papers.",0,"","2018-08-17 11:24:18","2018-08-17 12:52:44","2018-08-17 09:25:33",1826,"2","2018-08-17 09:25:37",6007,1,1,0,"0000-0002-6627-0746",1,1,NA,NA,"PR"
