list_number,Publication Year,Author,Title,Publication Title,DOI,Url,Pages,Issue,Volume
1,2018,"Ackerman, Joshua M.; Tybur, Joshua M.; Mortensen, Chad R.",Infectious Disease and Imperfections of Self-Image,Psychological Science,10.1177/0956797617733829,https://doi.org/10.1177/0956797617733829,228-241,2,29
2,2017,"Bahník, Štěpán; Vranka, Marek A.","If It’s Difficult to Pronounce, It Might Not Be Risky: The Effect of Fluency on Judgment of Risk Does Not Generalize to New Stimuli",Psychological Science,10.1177/0956797616685770,https://doi.org/10.1177/0956797616685770,427-436,4,28
3,2018,"Banks, George C.; Woznyj, Haley M.; Wesslen, Ryan S.; Ross, Roxanne L.",A Review of Best Practice Recommendations for Text Analysis in R (and a User-Friendly App),Journal of Business and Psychology,10.1007/s10869-017-9528-3,https://link.springer.com/article/10.1007/s10869-017-9528-3,Jan.-15,,
4,2018,"Biderman, Natalie; Mudrik, Liad",Evidence for Implicit—But Not Unconscious—Processing of Object-Scene Relations,Psychological Science,10.1177/0956797617735745,https://doi.org/10.1177/0956797617735745,266-277,2,29
5,2017,"Brandt, Mark J.",Predicting Ideological Prejudice,Psychological Science,10.1177/0956797617693004,https://doi.org/10.1177/0956797617693004,713-722,6,28
6,2017,"Caruso, Eugene M.; Shapira, Oren; Landy, Justin F.","Show Me the Money: A Systematic Exploration of Manipulations, Moderators, and Mechanisms of Priming Effects",Psychological Science,10.1177/0956797617706161,https://doi.org/10.1177/0956797617706161,1148-1159,8,28
7,2017,"Chandler, Jesse J.; Paolacci, Gabriele",Lie for a Dime: When Most Prescreening Responses Are Honest but Most Study Participants Are Impostors,Social Psychological and Personality Science,10.1177/1948550617698203,http://dx.doi.org/10.1177/1948550617698203,1.95E+15,,
8,2017,"Chatard, Armand; Bocage-Barthélémy, Yvana; Selimbegović, Leila; Guimond, Serge",The woman who wasn't there: Converging evidence that subliminal social comparison affects self-evaluation,Journal of Experimental Social Psychology,10.1016/j.jesp.2017.05.005,http://www.sciencedirect.com/science/article/pii/S0022103116308447,Jan.-13,,73
9,2015,"Colby, Helen; DeWitt, Jeff; Chapman, Gretchen B.",Grouping Promotes Equality: The Effect of Recipient Grouping on Allocation of Limited Medical Resources,Psychological Science,10.1177/0956797615583978,https://doi.org/10.1177/0956797615583978,1084-1089,7,26
10,2017,"Devine, Patricia G.; Forscher, Patrick S.; Cox, William T. L.; Kaatz, Anna; Sheridan, Jennifer; Carnes, Molly",A gender bias habit-breaking intervention led to increased hiring of female faculty in STEMM departments,Journal of Experimental Social Psychology,10.1016/j.jesp.2017.07.002,http://www.sciencedirect.com/science/article/pii/S0022103117300860,211-215,,73
11,2018,"Doebel, Sabine; Munakata, Yuko",Group Influences on Engaging Self-Control: Children Delay Gratification and Value It More When Their In-Group Delays and Their Out-Group Doesn’t,Psychological Science,10.1177/0956797617747367,https://doi.org/10.1177/0956797617747367,9.57E+14,,
12,2018,"Dufner, Michael; Brümmer, Martin; Chung, Joanne M.; Drewke, Pia M.; Blaison, Christophe; Schmukle, Stefan C.",Does Smile Intensity in Photographs Really Predict Longevity? A Replication and Extension of Abel and Kruger (2010),Psychological Science,10.1177/0956797617734315,https://doi.org/10.1177/0956797617734315,147-153,1,29
13,2017,"Dwyer, Ryan; Dunn, Elizabeth; Hershfield, Hal",Cousins or conjoined twins: how different are meaning and happiness in everyday life?,Comprehensive Results in Social Psychology,10.1080/23743603.2017.1376580,http://dx.doi.org/10.1080/23743603.2017.1376580,Jan.-17,0,0
14,2018,"Eklund, Rasmus; Wiens, Stefan",Visual awareness negativity is an early neural correlate of awareness: A preregistered study with two Gabor sizes,"Cognitive, Affective, & Behavioral Neuroscience",10.3758/s13415-018-0562-z,https://link.springer.com/article/10.3758/s13415-018-0562-z,Jan.-13,,
15,2017,"Esteban, Oscar; Birman, Daniel; Schaer, Marie; Koyejo, Oluwasanmi O.; Poldrack, Russell A.; Gorgolewski, Krzysztof J.",MRIQC: Advancing the automatic prediction of image quality in MRI from unseen sites,PLOS ONE,10.1371/journal.pone.0184661,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0184661,e0184661,9,12
16,2017,"Everett, Jim A. C.; Ingbretsen, Zach; Cushman, Fiery; Cikara, Mina","Deliberation erodes cooperative behavior — Even towards competitive out-groups, even when using a control condition, and even when eliminating selection bias",Journal of Experimental Social Psychology,10.1016/j.jesp.2017.06.014,http://www.sciencedirect.com/science/article/pii/S0022103117301336,76-81,,73
17,2018,"Fanelli, Daniele; Costas, Rodrigo; Fang, Ferric C.; Casadevall, Arturo; Bik, Elisabeth M.",Testing Hypotheses on Risk Factors for Scientific Misconduct via Matched-Control Analysis of Papers Containing Problematic Image Duplications,Science and Engineering Ethics,10.1007/s11948-018-0023-7,https://link.springer.com/article/10.1007/s11948-018-0023-7,Jan.-19,,
18,2017,"Farmer, George D.; Baron-Cohen, Simon; Skylark, William J.",People With Autism Spectrum Conditions Make More Consistent Decisions,Psychological Science,10.1177/0956797617694867,https://doi.org/10.1177/0956797617694867,1067-1076,8,28
19,2018,"Gilder, Thandiwe S. E.; Heerey, Erin A.",The Role of Experimenter Belief in Social Priming,Psychological Science,10.1177/0956797617737128,https://doi.org/10.1177/0956797617737128,403-417,3,29
20,2017,"Giner-Sorolla, Roger; Chapman, Hanah A.",Beyond Purity: Moral Disgust Toward Bad Character,Psychological Science,10.1177/0956797616673193,https://doi.org/10.1177/0956797616673193,80-91,1,28
21,2017,"Goldberg, Matthew H.; Carmichael, Cheryl L.","Language complexity, belief-consistency, and the evaluation of policies",Comprehensive Results in Social Psychology,10.1080/23743603.2017.1404427,https://www.tandfonline.com/doi/full/10.1080/23743603.2017.1404427,Jan.-17,,
22,2018,"Grossmann, Igor; Jowhari, Nickta",Cognition and the self: Attempt of an independent close replication of the effects of self-construal priming on spatial memory recall,Journal of Experimental Social Psychology,10.1016/j.jesp.2017.08.005,http://www.sciencedirect.com/science/article/pii/S0022103117302792,65-73,,74
23,2017,"Grosz, Michael P.; Lösch, Thomas; Back, Mitja D.",The narcissism-overclaiming link revisited,Journal of Research in Personality,10.1016/j.jrp.2017.05.006,http://www.sciencedirect.com/science/article/pii/S009265661730065X,134-138,,70
